tempo,mfccs_mean,mfccs_std,emotion
107.666015625,"[-90.162476    92.581955     7.0962696   43.84437      7.338843
  12.086605    11.31517     12.445299    -3.9725664    5.7574863
  -1.7806834   -1.716754    -0.71614915]","[45.796387  23.192165  11.805201  10.825057   6.24247    5.0629277
  5.6005034  5.400471   5.9220247  4.03932    6.4748187  6.5222306
  6.0976415]",angry
123.046875,"[-53.980785   125.131256    -9.621128    26.289936     5.9270663
  18.10505      6.32017     13.910581     0.17956607   3.9770837
  -2.4563231    5.6606097    0.4937529 ]","[34.43126   18.24805   11.276172   7.0327597  5.1333637  5.2965317
  4.905078   4.567074   4.418169   4.6468463  4.4541864  4.4957457
  4.455591 ]",angry
89.10290948275862,"[-46.881336    95.24365    -25.12238     57.465645    -2.7129514
  12.9486475    6.992062    13.327448     8.391839    -0.85197264
   5.080514     1.3260607   -8.684936  ]","[47.926785  24.835642  25.635937  13.695109  13.554095   7.6692734
  8.285827   7.956343   6.894894   8.108651   6.457016   6.454385
  6.1726785]",angry
107.666015625,"[-117.617096   135.43443      2.3547614   30.185383    24.463245
   10.933239     5.1209526   10.933728     2.053425     9.53125
    3.0674486    5.9651246    5.0754724]","[43.817463  23.242807  10.689529  14.1277     9.154583   8.305868
  7.6843224  6.8390546  5.5905123  6.318688   5.668145   5.1239986
  5.4685807]",angry
75.99954044117646,"[-133.22227     117.69033      12.791663     43.96762      22.698761
   13.56024       6.0285296    12.383522      6.0228686     8.1980295
   -0.8929314     7.1480627    -0.34532946]","[38.190384  26.03734   12.458698   6.9531417  6.4665995  5.2425785
  4.4862275  5.9554057  5.394959   4.987484   5.4785056  5.4047956
  6.092442 ]",angry
143.5546875,"[-233.09508    165.5609      13.381888    37.332027     5.9607606
   14.711344     5.382599     8.941044     2.3489285    4.045529
    1.0273353    5.242022    -2.369885 ]","[66.037     38.70604   14.648322  11.480806  10.937439   8.039518
  8.467592   6.052166   6.405354   4.984857   6.1597104  4.5027714
  5.1237626]",angry
99.38401442307692,"[-145.6585       96.889305    -11.820373     42.99945       4.3079205
   16.746729      1.0912611    10.022677     -4.3752637    16.58566
   -7.2691784     9.856182     -0.31624424]","[49.727192  54.77386   13.009796  13.448917  19.207037  20.378277
 11.4433775  7.6701593 16.666061  13.236742   8.27577    8.668802
  9.985529 ]",angry
135.99917763157896,"[-233.74666    111.526344    -0.437554    39.524143    15.811908
   24.074549     8.263399    15.357898     3.9709244    9.049734
    1.4273484    5.7145157    1.8925653]","[45.853054  19.910387  11.336164   6.3832664  6.2406483  5.5794544
  5.659626   4.6702733  4.712841   4.1423483  4.499421   4.551342
  4.5447273]",angry
172.265625,"[-226.59512    139.45718    -11.026861    43.99785      6.662668
    2.357258    -2.2761045    4.15542      4.001267     5.8183837
   -1.3795354    1.3439445    3.1327188]","[36.12062   18.903328  10.731062   7.988496   9.362605   6.6099267
  7.086762   7.543867   5.9557514  6.2112517  6.9794774  5.818376
  6.5364285]",angry
83.35433467741936,"[-204.68726    165.2175      21.452183    21.58467     35.38037
   21.486477     8.579299    15.455698     7.9990993    8.722301
    6.050742     7.1898446    6.572574 ]","[66.568085  23.078447  19.45389   11.258886   8.326758   6.467099
  7.782117   5.70499    5.538483   4.015033   5.0967116  4.124011
  4.5581913]",angry
117.45383522727273,"[-203.06084     118.335075    -30.134287      0.37159762  -38.94911
  -30.23053     -30.228203    -26.995245    -37.960377    -10.381661
   -9.550276     12.062878     -4.662149  ]","[55.46445   17.932013  14.285092   8.361007   9.230987   6.348638
  7.7439337  5.1680574  5.7630916  6.6169724  8.953689   7.1070623
  5.883687 ]",angry
123.046875,"[-132.05675    159.25935    -25.11385     32.692745     2.0756257
    5.7511473   10.62426      6.9755344    7.166288     5.109061
    2.8644817    8.774465     5.105254 ]","[50.20174   24.024406  26.507387  17.087255  12.213664  13.3619175
 11.079114   8.631305   9.207007   8.592195  11.983543   8.544553
  9.460713 ]",angry
123.046875,"[-136.82602    114.74545     -8.829225    31.878622     8.834871
   18.84133      8.045869    13.167745     5.3836393    7.4242105
    0.6026444    4.017755     2.9190946]","[48.5912    22.012941   9.750629   6.9429755  6.924333   6.0811934
  5.4215693  6.321847   5.2980413  5.7989097  4.6265645  6.374692
  5.3848357]",angry
129.19921875,"[-1.3437009e+02  8.2921814e+01  1.6104004e+01  3.6200840e+01
  1.3277631e+01  8.8772879e+00 -2.8555970e+00  1.6542522e+00
 -9.5488443e+00  4.1362062e+00 -1.1496931e-01 -2.1200461e+00
 -8.5332527e+00]","[31.222677  17.742653   9.7624     6.1604533  6.114824   5.242339
  4.995329   5.061616   5.078551   4.901196   4.9560723  4.605241
  4.709381 ]",angry
143.5546875,"[-146.25256     160.09119     -17.50001      39.046474      8.683966
    7.1908755    -0.77845746    8.586864     -0.16918501    3.5336306
   -3.6047075    -1.9942154    -3.5149286 ]","[55.150486  38.70641   18.594545  12.018555  12.03455   10.535741
  6.66955    9.8721285  6.5645823  7.8661284  6.732674   7.8279657
  7.5616083]",angry
143.5546875,"[-109.75196     129.4274      -17.09066      41.02925      25.385569
   13.4481735    -0.36254457    9.352259      5.6410213    -2.3999639
   -6.6736407    -5.2331724    -7.0533385 ]","[39.799263  14.933657  12.27723   10.763781   7.992828   6.251909
  4.966402   5.671397   5.4478483  5.443587   5.1450496  4.453662
  4.4509034]",angry
